Date,Close,Returns,1to1,Running Total(1),1to2,Running Total(2),1to4,Running Total(4),1to8,Running Total(8),1to16,Running Total(16),1to32,Running Total(32)
2/15/63,66.41,0.000904295,0.000578446,-0.398162231,0.000616462,-0.523501887,0.000451355,0.020857784,0.000466933,0.031108148,0.000592019,0.11341486,0.000760201,0.057746762
2/14/63,66.35,0.003023432,0.002697582,-0.395464649,0.002735599,-0.520766288,0.002570491,0.023428275,0.002586069,0.033694217,0.002711155,0.116126015,0.002879337,0.060626099
2/13/63,66.15,0.004861006,0.004535156,-0.390929493,0.004573173,-0.516193116,0.004408065,0.027836341,0.004423643,0.03811786,0.004548729,0.120674744,0.004716911,0.06534301
2/12/63,65.83,0.001064477,0.000738628,-0.390190865,0.000776644,-0.515416472,0.000611536,0.028447877,0.000627114,0.038744975,0.000752201,0.121426945,0.000920382,0.066263392
2/11/63,65.76,-0.006196161,-0.006522011,-0.396712876,-0.006483994,-0.521900466,-0.006649102,0.021798775,-0.006633524,0.032111451,-0.006508438,0.114918507,-0.006340256,0.059923136
2/8/63,66.17,0,-0.000325849,-0.397038725,-0.000287833,-0.522188299,-0.000452941,0.021345834,-0.000437363,0.031674088,-0.000312276,0.114606231,-0.000144095,0.059779041
2/7/63,66.17,-0.003463855,-0.003789705,-0.40082843,-0.003751688,-0.525939988,-0.003916796,0.017429038,-0.003901218,0.02777287,-0.003776132,0.110830099,-0.00360795,0.056171091
2/6/63,66.4,0.004386628,0.004060779,-0.396767651,0.004098795,-0.521841193,0.003933688,0.021362726,0.003949266,0.031722136,0.004074352,0.114904451,0.004242534,0.060413624
2/5/63,66.11,-0.000906755,-0.001232605,-0.398000255,-0.001194588,-0.523035781,-0.001359696,0.02000303,-0.001344118,0.030378018,-0.001219032,0.113685419,-0.00105085,0.059362774
2/4/63,66.17,-0.002111295,-0.002437145,-0.4004374,-0.002399128,-0.525434909,-0.002564236,0.017438794,-0.002548658,0.02782936,-0.002423572,0.111261847,-0.00225539,0.057107384
2/1/63,66.31,0.001661631,0.001335782,-0.399101618,0.001373798,-0.524061111,0.001208691,0.018647485,0.001224269,0.029053629,0.001349355,0.112611203,0.001517537,0.058624921
1/31/63,66.2,0.00531511,0.004989261,-0.394112357,0.005027277,-0.519033834,0.00486217,0.023509654,0.004877748,0.033931377,0.005002834,0.117614036,0.005171015,0.063795936
1/30/63,65.85,-0.005737581,-0.00606343,-0.400175788,-0.006025414,-0.525059248,-0.006190522,0.017319133,-0.006174944,0.027756433,-0.006049858,0.111564179,-0.005881676,0.05791426
1/29/63,66.23,-0.000150966,-0.000476815,-0.400652603,-0.000438799,-0.525498047,-0.000603907,0.016715226,-0.000588329,0.027168104,-0.000463243,0.111100936,-0.000295061,0.057619199
1/28/63,66.24,0.004854369,0.00452852,-0.396124083,0.004566536,-0.520931511,0.004401428,0.021116654,0.004417006,0.031585111,0.004542093,0.115643029,0.004710274,0.062329473
1/25/63,65.92,0.002585551,0.002259702,-0.393864381,0.002297718,-0.518633793,0.002132611,0.023249265,0.002148189,0.033733299,0.002273275,0.117916304,0.002441457,0.06477093
1/24/63,65.75,0.001981103,0.001655254,-0.392209127,0.00169327,-0.516940523,0.001528163,0.024777428,0.001543741,0.03527704,0.001668827,0.119585131,0.001837009,0.066607938
1/23/63,65.62,0.002750611,0.002424762,-0.389784365,0.002462778,-0.514477745,0.002297671,0.027075098,0.002313249,0.037590289,0.002438335,0.122023466,0.002606516,0.069214455
1/22/63,65.44,0.00245098,0.002125131,-0.387659234,0.002163147,-0.512314597,0.00199804,0.029073138,0.002013618,0.039603907,0.002138704,0.12416217,0.002306886,0.07152134
1/21/63,65.28,0.001534213,0.001208364,-0.386450871,0.00124638,-0.511068217,0.001081272,0.03015441,0.00109685,0.040700757,0.001221937,0.125384106,0.001390118,0.072911459
1/18/63,65.18,0.000767695,0.000441846,-0.386009025,0.000479862,-0.510588355,0.000314755,0.030469165,0.000330333,0.04103109,0.000455419,0.125839525,0.000623601,0.073535059
1/17/63,65.13,0.007113035,0.006787186,-0.379221839,0.006825202,-0.503763152,0.006660095,0.03712926,0.006675673,0.047706763,0.006800759,0.132640284,0.006968941,0.080504
1/16/63,64.67,-0.006757795,-0.007083644,-0.386305482,-0.007045628,-0.51080878,-0.007210735,0.029918525,-0.007195157,0.040511606,-0.007070071,0.125570214,-0.006901889,0.07360211
1/15/63,65.11,-0.001380368,-0.001706217,-0.3880117,-0.001668201,-0.512476981,-0.001833309,0.028085216,-0.001817731,0.038693875,-0.001692644,0.123877569,-0.001524463,0.072077648
1/14/63,65.2,0.00539707,0.005071221,-0.382940479,0.005109237,-0.507367744,0.00494413,0.033029346,0.004959708,0.043653583,0.005084794,0.128962363,0.005252975,0.077330623
1/11/63,64.85,0.002163499,0.001837649,-0.381102829,0.001875666,-0.505492078,0.001710558,0.034739904,0.001726136,0.045379719,0.001851222,0.130813585,0.002019404,0.079350027
1/10/63,64.71,0.001857873,0.001532023,-0.379570806,0.00157004,-0.503922039,0.001404932,0.036144836,0.00142051,0.046800229,0.001545596,0.132359182,0.001713778,0.081063805
1/9/63,64.59,-0.00231696,-0.002642809,-0.382213615,-0.002604793,-0.506526832,-0.002769901,0.033374935,-0.002754323,0.044045906,-0.002629236,0.129729945,-0.002461055,0.07860275
1/8/63,64.74,0.00966937,0.009343521,-0.372870095,0.009381537,-0.497145295,0.009216429,0.042591365,0.009232007,0.053277914,0.009357094,0.139087039,0.009525275,0.088128025
1/7/63,64.12,-0.000155933,-0.000481783,-0.373351877,-0.000443766,-0.497589061,-0.000608874,0.041982491,-0.000593296,0.052684618,-0.00046821,0.138618829,-0.000300028,0.087827997
1/4/63,64.13,0.006434401,0.006108551,-0.367243326,0.006146567,-0.491442494,0.00598146,0.047963951,0.005997038,0.058681656,0.006122124,0.144740953,0.006290306,0.094118303
1/3/63,63.72,0.016430053,0.016104203,-0.351139123,0.01614222,-0.475300274,0.015977112,0.063941063,0.01599269,0.074674346,0.016117776,0.16085873,0.016285958,0.110404261
1/2/63,62.69,-0.006497623,-0.006823472,-0.357962595,-0.006785456,-0.48208573,-0.006950563,0.056990499,-0.006934985,0.067739361,-0.006809899,0.15404883,-0.006641718,0.103762543
12/31/62,63.1,0.002223634,0.001897785,-0.35606481,0.001935801,-0.480149929,0.001770693,0.058761193,0.001786272,0.069525632,0.001911358,0.155960188,0.002079539,0.105842082
12/28/62,62.96,0.00047672,0.000150871,-0.355913939,0.000188887,-0.479961042,0.0000238,0.058784972,0.0000394,0.06956499,0.000164444,0.156124632,0.000332625,0.106174708
12/27/62,62.93,-0.001428118,-0.001753967,-0.357667907,-0.001715951,-0.481676993,-0.001881059,0.056903914,-0.001865481,0.067699509,-0.001740394,0.154384238,-0.001572213,0.104602495
